,street_name,amenity_type,count
0,Área La Rotonda,shelter,1
1,Álvarez Thomas,restaurant,1
2,carcel_judicial,prison,1
3,calle 19,school,1
4,area residencial,bar,2
5,Zaragoza,pharmacy,2
6,Yourka,bus_station,1
7,Village Praia,parking_entrance,2
8,Villa 20,public_bookcase,1
9,Vila dos Ingleses,parking_entrance,1
10,Vila José Lobosque,parking,1
11,Vila Antônio Bezerra,restaurant,1
12,Vicuña Mackenna,bench,1
13,Victor G. Garces,taxi,1
14,Vicente Rocafuerte,bus_station,1
15,Via cementerio calle 3,veterinary,1
16,Via Zhud Suscal La Troncal,place_of_worship,1
17,Via Veneto,cafe,1
18,Via Veneto,restaurant,1
19,Venezuela,fast_food,1
20,Urbina,atm,1
21,Urb. Alameda del Rio,pharmacy,1
22,Up Life,parking_entrance,1
23,Unidad Residencial Colseguros,parking_entrance,1
24,Tucupi,ferry_terminal,1
25,Travessa dos Mártires,bank,1
26,Travessa Teódulo de Albuquerque,parking,1
27,Travessa São Francisco,ferry_terminal,1
28,Travessa Rui Barbosa,ferry_terminal,1
29,Travessa Osvaldo Cruz,fast_food,1
30,Travessa Nazaré,ferry_terminal,1
31,Travessa José Rolando,hospital,1
32,Travessa Granja,pub,1
33,Travessa Dona Agostinha,ferry_terminal,1
34,Travessa Agostinho Cardoso da Silva,ferry_terminal,1
35,Travessa 4,restaurant,1
36,Tiburcio Saavedra,parking,1
37,Stewart Shipton,fuel,1
38,Steffenelli,parking_entrance,1
39,Spazio Vita,parking,1
40,Simón Bolívar,parking_entrance,1
41,Simón Bolivar,water_point,1
42,Segunda Etapa - Condomínio Itaparica Sol,taxi,1
43,Sebastian Guillen,restaurant,1
44,School Street,place_of_worship,1
45,Sargento Cabral,taxi,1
46,Santa Rosa,school,1
47,Santa María Reservado 3,community_centre,1
48,Santa Cruz,taxi,1
49,San Pedro de Tiquina,ferry_terminal,3
50,San Buenaventura,ferry_terminal,2
51,Rue Carlos Finley,parking,1
52,Rua dos Metalúrgicos,taxi,1
53,Rua dos Metalúrgicos,telephone,1
54,Rua do Porto do Banho,ferry_terminal,1
55,Rua do Pombo,parking,1
56,Rua do Hospital,parking_entrance,1
57,Rua da Telebahia,restaurant,1
58,Rua da Rádio,ferry_terminal,1
59,Rua da Praia,common,2
60,Rua da Paciência,ferry_terminal,1
61,Rua da Mangueira,ferry_terminal,1
62,Rua da Esperança,grave_yard,1
63,Rua da Consolação,motorcycle_parking,1
64,Rua da Barca,ferry_terminal,1
65,Rua Yolanda Brandão Correia,waste_basket,1
66,Rua Xavier da Silva,parking,1
67,Rua Varsóvia,school,1
68,Rua Turquesa,bar,1
69,Rua Tiradentes (21 de Abril).,restaurant,1
70,Rua Tibirica,ferry_terminal,1
71,Rua Tamoyo,bicycle_parking,1
72,Rua Sérgio Carlos de Matos,parking,1
73,Rua São Pedro,bar,1
74,Rua São Paulo,taxi,1
75,Rua São Gabriel da Costa,place_of_worship,1
76,Rua Simplício Mendes,parking,5
77,Rua Silva Pinto,fast_food,1
78,Rua Sete de Setembro,bank,1
79,Rua Senador Teodoro Pacheco,motorcycle_parking,6
80,Rua Senador Teodoro Pacheco,parking,5
81,Rua Sem Denominação,ferry_terminal,1
82,Rua Segunda,ferry_terminal,1
83,Rua Sebastião Amaro,place_of_worship,1
84,Rua Santo Indalecio,place_of_worship,1
85,Rua Santo Américo,parking_entrance,1
86,Rua Santa Clara,parking_entrance,1
87,Rua S,pub,1
88,Rua Rita Eliondo de Melo,police,1
89,Rua Riachuelo,restaurant,1
90,Rua Raimundo Ramos dos Santos,school,1
91,Rua Quinzinho do Amaral,ferry_terminal,1
92,Rua Ptolmeu Assis Brasil,ferry_terminal,1
93,Rua Projetada,place_of_worship,1
94,Rua Professor José Maurício Higgins,school,1
95,Rua Presidente Getúlio Vargas,school,1
96,Rua Pedro Pires de Campos,cinema,1
97,Rua Pedro Pinto,restaurant,1
98,Rua Pedreiras,ferry_terminal,1
99,Rua Paulo VI,bicycle_parking,1
100,Rua Paraíba,bank,1
101,Rua Parati,fast_food,1
102,Rua Padre Roma,bench,1
103,Rua Padre Manuel da Nóbrega,bus_station,1
104,Rua Padre Manuel Primo de Sousa,bank,1
105,Rua Padre Demétrios,ferry_terminal,1
106,Rua Otávio de Assis,place_of_worship,1
107,Rua Osvaldo Aranha,townhall,1
108,Rua Nossa Senhora da Saúde,parking,1
109,Rua Nereu Ramos,ferry_terminal,1
110,Rua Nelson de Oliveira,social_facility,1
111,Rua Mário Castaldelli,school,1
112,Rua Matias Cardoso,cafe,2
113,Rua Marinho Chaves,school,1
114,Rua Mariano Lanziani,fuel,1
115,Rua Maria Grazia Errico,parking,1
116,Rua Maranhão,restaurant,1
117,Rua Manoel Rodrigues,ferry_terminal,1
118,Rua Manoel Cruz,place_of_worship,1
119,Rua Manoel Alexandre,ferry_terminal,1
120,Rua Luiz Gama,parking,1
121,Rua Leopoldo Couto de Magalhães Júnior,parking,1
122,Rua Laurindo Izidoro Jaqueta,cinema,1
123,Rua João de Oliveira Franco,bus_station,1
124,Rua João Libanio,ferry_terminal,1
125,Rua João Batista Brisola,taxi,2
126,Rua Jovino Silvério Pereira,telephone,1
127,Rua José Roberto Cirino Lopes,ferry_terminal,1
128,Rua José Paulino da Silva,restaurant,1
129,Rua José Mastrangelo,bicycle_rental,1
130,Rua José Manoel da Silva,grave_yard,1
131,Rua José Jaime Rodrigues,parking,1
132,Rua José Balan,place_of_worship,1
133,Rua José Avelino,bank,1
134,Rua Jackson de Figueiredo,bank,1
135,Rua Ipiranga,pub,1
136,Rua Ipe Roxo,bus_station,1
137,Rua Ipe Amarelo,bus_station,2
138,Rua Indaiatuba,kindergarten,1
139,Rua Haeckel José de Almeida,taxi,1
140,Rua Grécia,bar,1
141,Rua Greenhals,taxi,1
142,Rua General Câmara,motorcycle_parking,1
143,Rua General Cristóvão Barcelos,bicycle_parking,1
144,Rua Garca,school,1
145,Rua Galdino Veloso,bank,1
146,Rua G,ferry_terminal,1
147,Rua Frei Luiz,taxi,1
148,Rua Francesco Granacci,telephone,1
149,Rua Engenho da Conceição,ferry_terminal,1
150,Rua Engenheiro Prestes Maia,taxi,1
151,Rua Engenheiro Prestes Maia,telephone,1
152,Rua Elpidio de Andrade,ferry_terminal,1
153,Rua Eleonora Cintra,parking_entrance,1
154,Rua Eduardo Pinto,fast_food,1
155,Rua Doutor Roberto da Silveira,fuel,1
156,Rua Doutor Manoel Nogueira,parking,1
157,Rua Doutor Fróes da Cruz,parking_space,1
158,Rua Dona Teresa,parking_space,1
159,Rua Dona Brígida,fast_food,1
160,Rua Direita,place_of_worship,1
161,Rua Direita,restaurant,1
162,Rua Dez,school,1
163,Rua David Caldas,parking,1
164,Rua Célio Cerqueira,pharmacy,1
165,Rua Cruz e Souza,taxi,1
166,Rua Coronel Ruy,nursing_home,1
167,Rua Coronel Osório,school,1
168,Rua Coronel Frederico Martins,studio,1
169,Rua Coronel Araújo Ribeiro,bank,1
170,Rua Coqueiral,place_of_worship,1
171,Rua Comendador Miguel Calfat,bicycle_rental,1
172,Rua Cesário Alvim,fuel,1
173,Rua Cecilia Santana Romão,fast_food,1
174,Rua Carlos Vergani,yes,1
175,Rua Carlos Azevedo,taxi,1
176,Rua Caraíba,place_of_worship,1
177,Rua Capelão Álvares da Silva,bar,1
178,Rua C. B. Sena,kindergarten,1
179,Rua C,parking_entrance,2
180,Rua C,place_of_worship,1
181,Rua Brasiliana,pub,1
182,Rua Bingue Ribeiro,place_of_worship,1
183,Rua Benedito Alves Moreira,fuel,1
184,Rua Belizardo Franco,ferry_terminal,1
185,Rua Bandeira Paulista,bicycle_rental,1
186,Rua Baluarte,bicycle_rental,1
187,Rua Bahia,place_of_worship,1
188,Rua Ayrton Senna,bench,1
189,Rua Artur Silva,fuel,1
190,Rua Antônio Vita,fast_food,1
191,Rua Antônio Silva,place_of_worship,1
192,Rua Antônio Ourique,fuel,1
193,Rua Antônio Dias,place_of_worship,1
194,Rua Antonio Reginatto,ferry_terminal,1
195,Rua Antonio Perrota,bank,1
196,Rua Andrelino de Morais,school,2
197,Rua Amparo,kindergarten,1
198,Rua Alzira de Oliveira Freitas,telephone,2
199,Rua Altíno Marinho,bank,1
200,Rua Alexandre Rodrigues de Souza,fast_food,1
201,Rua Agripino Francisco Martins,bank,1
202,Rua Afonso Vincoletto,restaurant,1
203,Rua Adalberto da Silva Vidinha,ferry_terminal,1
204,Rua 7 de Setembro,hospital,1
205,Rua 4,place_of_worship,1
